Title;Location;Price;Posted On;Pillar Size;Tank Capacity;Road Size;Road Type;Built On;Land Area;House Area;Beds;Living;Kitchen;Bathrooms;Property Face Direction;Parking Space;Amenities
Syuchatar Brand New Home;location: Kathmandu, Syuchatar;Rs 39,500,000;8 months ago;12*12 Inchs;12000 Liters;13 Feets;Blocks;2079 B.S.;4 Anna;2667 Sq.ft;5;2;2;4;EAST-NORTH;1 Car & 4 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
New Adheshwor House On Sale;location: Kathmandu, Sitapaila;Rs 28500000;8 months ago;12*12 Inchs;12000 Liters;13 Feet;Concrete;2079 B.S.;3 Anna 3 paisa;2667 Sq.ft;6;2;1;3;NORTH-WEST;1 Car & 3 Bikes;['No Amenities Available']
Sitapaila, Adheshwor House On Sale;location: Kathmandu, Sitapaila;Rs 26000000;8 months ago;12*12 Inchs;12000 Liters;13 Feet;Concrete;2079 B.S.;3 Anna 1 Paisa 2 Dam;2667 Sq.ft;6;1;1;3;SOUTH-WEST;1 Car & 3 Bikes;['No Amenities Available']
Dhungedhara/Sano-Bharyang House On Sale;location: Kathmandu, Sano-Bharyang;Rs 30000000;8 months ago;12*12 Inchs;12000 Liters;14 Feet;Concrete;2079 B.S.;2.3 Anna;2667 Sq.ft;5;1;2;2;EAST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen']
Satungal House On Sale;location: Satungal, Kathmandu;Rs 19500000;8 months ago;12*12 Inchs;12000 Liters;10;Gravel;2079 B.S.;3 Anna;1810 sq.ft;5;2;1;4;EAST-NORTH;1 Car & 2 Bikes;['Modular Kitchen', 'Water Well']
Satungal House On Sale;location: Satungal, Kathmandu;Rs 18500000;8 months ago;;;10 Feets;Concrete;;2.3 Anna;;5;1;1;3;NORTH/EAST;1 Car & 2 Bikes;['No Amenities Available']
Naikap House On Sale;location: Naicap, Kathmandu;Rs 46500000;8 months ago;;;13 Feet;Concrete;;8 Anna 1 paisa;;11;1;2;5;NORTH/EAST;2 Car & 4 Bikes;['No Amenities Available']
Nakhu House on Sale;location: Lalitpur, Bhaisepati, Nakhu;Rs 29000000;9 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2079 B.S;3.1 Anna;2320 sq.ft.;5;1;1;5;EAST-NORTH;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
House on sale;location: Narayntar gokarneswhor municipality;Rs 35000000;9 months ago;400*400;10000L;"12""";Concrete paved;2078;4.5 anna;1530;11;4;4;5;Southeast;1 car 3 motercycle;['Modular Kitchen', 'Water Well']
Hattiban House on Sale;location: Lalitpur, Hattiban;Rs Rs .21,500,000/-;9 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2078 B..S;2.3 Anna;2620 sq.ft.;4;1;1;3;SOUTH;1 Car & 3 Bikes;['Water Filter', 'Modular Kitchen', 'Water Well']
House for sale -Thaiba,Godamchaur(6.2kmFromSatdobato);location: Godamchaur, Lalitpur;Rs 29000000;9 months ago;12/12;2000 lt.;13 feet;Gravellled;2069;12 aanaa;2717.50 sq. ft.;14;1;2;6;south;3 cars and 3 bikes;['No Amenities Available']
Nagarjung House on Sale;location: Kathmandu,Sano Bharayang;Rs 2,25,00,000/-;10 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2078 B..S;3 Anna;2120 sq.ft.;4;1;1;4;NORTH;1 Car & 2 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Two Raniban House On Sale;location: Kathmandu,Raniban;Rs 3.20 CR / 3 CR;10 months ago;12*12 Inchs;1000;20 feet;Concrete;2079 B.S.;3.2 / 3 Anna;2120 sq.ft.;4;2;1;3;North/South;1 Car & 2 Bikes;['Modular Kitchen']
Sitapaila House On Sale;location: Kathmandu, Sitapaila;Rs 28500000;10 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2078 B..S;3.2 Anna;2320 sq.ft.;5;2;2;3;WEST;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
Saranpur House on Sale;location: Saranpur, Sitapaila, Kathmandu;Rs 55000000;10 months ago;;;16 feets;Concrete;2063 B.S;9 Anna;;5;1;2;4;NORTH;2 Cars & 3 Bikes;['Solar', 'Servent Quarter']
Kohinoor House for Sale;location: Kathmandu, Bafal;Rs 40000000;10 months ago;9*9 Inch;10000 Liters;20 Feets;Blocks;2065 B.S.;4.2 Anna;2235 Sq.ft;4;1;1;4;NORTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Kuleshwor House& Land on Sale;location: Kathmandu,Kuleshwor;Rs 75000000;10 months ago;9*9 Inches;8000 Liters;22 Feets;Black Topped;2055 B.S;7 Aana;2320 sq.ft.;7;2;2;5;NORTH;1 Car & 3 Bikes;['Water Well']
Dahachok House for Sale;location: Kathmandu, Chandagiri, Khahare;Rs 27000000;10 months ago;12*12 Inches;10,000 Liters;13 Feets;Concrete;2078 B.S.;5.1 Anna;2867 Sq.ft;6;2;2;5;NORTH;2 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Bhaisepati House on Sale;location: Lalitpur, Bhaisepati, Sainbu;Rs 60000000;10 months ago;9*9 Inchs;12000 Liters;10 Feets;Concrete;2061 B.S.;8 Anna;2731.94 Sq.ft;6;1;1;4;EAST-NORTH;2 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Bhaisepati House for Sale;location: Lalitpur, Bhaisepati;Rs 37500000;10 months ago;12*12 Inchs;12000 Liters;14 Feets;Blocks;2079 B.S.;3.3 ANna;2300 sq.ft;4;1;1;5;SOUTH-WEST;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Imadol New House on Sale;location: Lalitpur, Imadol, Cozy Homes;Rs 28500000;10 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2079 B..S;3 Anna 1 Dam;2427 Sq.ft;5;2;2;3;EAST-SOUTH;1 Car & 3 Bikes;['Water Filter', 'Modular Kitchen', 'Water Well']
Sitapaila Bungalow on Sale;location: Kathmandu, Sitapaila;Rs 6 ,0000,000;10 months ago;12*12 Inchs;12000 Liters;16 feets;Black Topped;2077 B.S;8 Anna;3318 Sq.ft.;5;3;2;5;SOUTH;2 Car & 5 Bikes;['Solar', 'Modular Kitchen']
Buddha Chowk House On Sale;location: Kathmandu, Nagarjung-3, Buddha Chowk;Rs 31000000;11 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2079 B.S.;3 Anna;2867 Sq.ft;8;2;1;4;EAST;1 Car & 3 Bikes;['Water Well']
Rai Chowk House on Sale;location: Karhmandu, Nagarjung-2;Rs 27500000;11 months ago;12*12 Inchs;8000 Liters;13 Feets;Concrete;2079 B..S;2.2 Anna;1712Sq.ft;4;1;1;4;EAST;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
Bafal House for Sale;location: Kathmandu, Bafal;Rs 28500000;11 months ago;12*12 Inchs;12000 Liters;12;Concrete;2078 B..S;3 Anna;1712Sq.ft;5;1;2;3;WEST;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
SItapaila House on Sale;location: Kathmandu, Sitapaila;Rs 22,000,000;11 months ago;12*12 Inchs;10000 Liters;16 Feets;Gravel;2079 B.S.;3 Anna;2267 Sq.ft;6;1;2;3;NORTH;1 Car & 2 Bikes;['Solar', 'Water Well']
Bafal Brand New House;location: Kathmandu, Bafal;Rs 28500000;11 months ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2078 B.S.;4 Anna;2711 Sq.ft;7;2;2;4;NORTH;2 Cars & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Bhimdhunga House;location: Kathmndu, Nagarjung-8;Rs 20500000;1 year ago;12*12 Inchs;10000 Liters;13 Feets;Concrete;2078 B..S;3 Anna;2752 sq.ft;6;2;2;3;NORTH;1 Car & 2 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Sitapaila House;location: Kathmandu, Nagarjung, Towkhel;Rs 1.8 Crore;1 year ago;12*12 Inchs;10000 Liters;16 Feets;Gravel;2078 B..S;0.2.2.2;1451 Sq.ft;4;1;2;2;SOUTH;1 Car & 2 Bikes;['Water Well']
SItapaila 6 Plots;location: Kathmandu, Sitapaila-5,Sankata;Rs 35 Lakh Per Anna;1 year ago;12*12 Inchs;10000 Liters;13 Feets;Gravel;2078 B..S;3-5 Anna;1451 Sq.ft;4;1;2;2;East-South;1 Car & 2 Bikes;['No Amenities Available']
Nagarjung Plotting;location: Kathmandu,Nagajung-7, Bhimdhunga;Rs Starting from 24 Lakh per Anna;1 year ago;12*12 Inchs;10000 Liters;13 Feets;Gravel;2078 B..S;3-8 Anna;1451 Sq.ft;4;1;2;2;East-South;1 Car & 2 Bikes;['No Amenities Available']
Nakhu House;location: Lalitpur, Nakhu;Rs 39000000;1 year ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2078 B..S;0.5.2.1;2684 Sq.ft.;4;1;1;3;NORTH/EAST;1 Car & 4 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Ekdhara House;location: Kathmandu, Nagarjung-3, Ekdhara;Rs 47,000,000;1 year ago;9*9 Inch;12000 Liters;13 Feets;Concrete;2063 B.S;6 Anna;4198 Sq.ft;9;3;3;4;EAST;2 Cars & 3 Bikes;['Modular Kitchen', 'Water Well']
Sitapaila Bungalow;location: Kathmandu, Sitapaila;Rs 5 Crore;1 year ago;12*12 Inchs;12000 Liters;16 feets;Black Topped;2072 B.S.;7.2 Anna;2697 Sq.ft;5;2;1;5;EAST-NORTH;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Banglow House for Sale;location: Kathmandu, Sitapaila;Rs 37,500,000;1 year ago;12*12 Inchs;10000 Liters;16 feets;Black Topped;2073 B.S;5 Anna;2320 sq.ft.;4;1;1;4;South-EAST;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen']
Residential House For Sale.;location: Kathmandu, Ramkot, Nagarjung-6;Rs 24000000;1 year ago;12*12 Inchs;10000 Liters;13 Feet;Blocks;2078 B.S.;3.3.3 AANA;2445 sq.ft;4;2;1;3;SOUTH-WEST;1 Car & 3 Bikes;['Solar', 'Water Well']
Dallu House;location: Kathmandu, Dallu;Rs 29500000;1 year ago;12*12 Inchs;12000 Liters;13 Feets;Concrete;2078 B..S;3 Anna;2267 Sq.ft;4;1;1;3;NORTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Upper Bhangal Bungalow;location: Kathmandu, Budhanilkantha, Bhangal;Rs 125000000;1 year ago;12*12 Inch;12000 Liters;13 Feet;Concrete;2065 B.s;20 Anna;4208 Sq.ft;4;1;1;5;EAST;10 Cars & 10-15 Bikes;['Solar', 'Modular Kitchen', 'Servent Quarter']
Residential Bungalow For Sale.;location: Kathmandu, Sita-paila;Rs 33500000;1 year ago;12*12 Inch;14000;22 Feets;Gravel;2076 B.S;4.5 anna;2674.25 sq.ft;6;1;1;5;EAST-NORTH;2 Car & 5 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Raniban Radhakrishna Home;location: Kathmandu, Raniban, Radha Krishna;Rs 4.25 Crore;1 year ago;12*12 Inch;14000;20 Feets;Black Topped;2078 B.S.;0.4.2.1;3129.98;6;2;2;4;South-West;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Raniban Banglow For Sale;location: Kathmandu,Raniban, Kharibot;Rs 4.25 Crore;1 year ago;12*12 Inchs;12000 liters;20 Feets;Concrete;2077 B.S;4.3 Anna;3120 Sq.ft.;3;1;1;3;East;2 Cars & 5 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Brand New House For Sale.;location: Kathmandu, Sitapaila-5;Rs 29000000;1 year ago;12*12 Inch;10000 Liters;13 Feet;Gravel;2078 B..S;3.5 anna;;5;2;2;4;EAST;1 Car & 3 Bikes;['Solar', 'Water Well']
Brand New House For Sale.;location: Kathmandu, Bafal;Rs 28500000;1 year ago;12*12 Inch;12000 Liters;13 Feet;Gravel;2078 B..S;4 Anna;;5;2;2;3;SOUTH-WEST;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
Residential House For Sale.;location: Kathmandu, Lolang, Aryatar;Rs 18500000;1 year ago;12*12 Inch;12000 Liters;10 Feets;Gravel;2078 B..S;4.1.2 Anna;;6;3;2;3;SOUTH-WEST;1 Car & 3 Bikes;['Water Well']
Residential House For Sale.;location: Kathmandu, Thulo-bharyang, Halchowk;Rs 28000000;1 year ago;12*12 Inch;10000 Liters;13 Feet;Black Topped;2078 B..S;3 Anna;;4;2;2;3;EAST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Thulo Bharayang House;location: Kathmandu, Thulo Bharayang;Rs 32500000;1 year ago;12*12 Inchs;12000 Liters;10 Feets;Concrete;2078 B..S;3.2 Anna;2267 Sq.ft;5;2;2;4;SOUTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Ramkot House;location: Kathmandu, Ramkot;Rs 30500000;1 year ago;12*12 Inchs;12000 Liters;26 Feet's;Gravel;2074 B.S;0.4.0.2 Anna;2267 Sq.ft;6;2;2;4;EAST-NORTH;2 Cars & 3 Bikes;['Modular Kitchen', 'Water Well']
Sangam Semi-Commercial House;location: Kathmandu, Tarkeshwor, Sangam Tole;Rs 36000000;1 year ago;12*12 Inchs;12000 Liters;20 feets;Black Topped;2078 B..S;3.2 Anna;3122 Sq.ft;6;2;2;4;NORTH-WEST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Adeshwor Banglow;location: Kathmandu, Sitapaila, Adeshwor;Rs 26000000;1 year ago;12*12 Inchs;180000 liters;13 Feet;Concrete;2077 B.S;3 Anna;1810 sq.ft;4;1;1;4;EAST;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Residential Bungalow For Sale.;location: Kathmandu, Sitapaila, Adeshwor;Rs 26500000;1 year ago;9*12 inch;10000 Liters;15 Feets;Concrete;2068 B.S;4 Anna;1810 sq.ft;5;1;1;4;EAST;1 Car & 3 Bikes;['Water Well']
Sano Bharayang House;location: Kathmandu, Sano bharyang;Rs 43000000;1 year ago;12*12 Inchs;12000 Liters;16 feets;Concrete;2077 B..S;5 Anna;3480 sq.ft;8;2;2;5;SOUTH-WEST;2 Cars & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Adeshwor House;location: Kathmandu, Sitapaila, Adeshwor;Rs 30,500,000;1 year ago;12*12 Inchs;12000 Liters;16 feets;Black Topped;2078 B..S;4 Anna;3103 Sq.Ft.;6;3;3;6;WEST;1 Car & 5 Bikes;['Modular Kitchen', 'Water Well']
Golfutar Height Banglow;location: Kathmandu, Golfutar;Rs 7.75 Crore;1 year ago;12*12 Inchs;12000 Liters;14 Feets;Black Topped;2078 B..S;0-8-2-0;3103 Sq.Ft.;7;3;1;5;NORTH;5 Cars & 6 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well', 'Servent Quarter']
Sitapaila House;location: Kathmandu, Sitapaila, Banglamukhi;Rs 23,500,000;1 year ago;12*12 Inch;12000 Liters;13 Feets;Concrete;2074 B.S;3.2.2 Anna;1715 sq.ft;7;3;2;3;EAST;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
Dallu New House;location: Kathmandu, Dallu;Rs 46,500,000;1 year ago;12*12 Inch;12000 Liters;13 Feet;Concrete;2078 B..S;4 Anna;1715 sq.ft;7;2;2;5;SOUTH;1 Car & 4 Bikes;['Modular Kitchen']
Syuchatar House;location: Kathmandu, Syuchatar;Rs 22,000,000;1 year ago;12*12 Inch;10,000 Liters;10 Feets;Concrete;2078 B..S;4.5 anna;1715 sq.ft;7;1;2;4;SOUTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Dallu House;location: kathmandu, dallu;Rs 40,000,000;1 year ago;12*12 Inch;12000 Liters;13 Feet;Concrete;2078 B..S;4 Anna;2267 Sq.ft;6;2;2;4;SOUTH;2 Cars & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen']
Banglamukhi House;location: Kathmandu, Banglamukhi, Sitapaila;Rs 2,90,00,000;1 year ago;12*12 Inch;2000 Liters;16 feets;Concrete;2074 B.S;3.2 Anna;2267 Sq.ft;7;2;2;5;EAST;1 Car & 3 Bikes;['Solar', 'Water Well']
Beautiful House On Sale.;location: Rumba chowk, Sano bharyang, Kathmandu;Rs 2,75,00,000;1 year ago;12*12 Inch;2000 Liters;14 Feet;Concrete;2074 B.S;3.2 Anna;1810 sq.ft;4;3;2;3;East-South;2 Car & 5 Bikes;['Modular Kitchen', 'Water Well']
Raniban house For Sale;location: Kathmandu, Nagarjung, Raniban;Rs 20,000,000;1 year ago;12*12 Inch;8000 Liters;12 Feets;Concrete;2074 B.S;3 Anna;1721 Sq.ft.;4;;1;3;EAST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Semi-commercial property in Raniban;location: Kathmandu, Raniban;Rs 62000000;1 year ago;12*12 Inch;2000 Liters;18 Feet;Black Topped;2075 B.S;5.5 Anna;2950 square feet;5;2;1;5;NORTH;2 Car & 5 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Sano Bharyang;location: Kathmandu, Sano bharyang;Rs 36000000;1 year ago;12*12 Inch;12000 Liters;16 feet;Concrete;2078 B.S.;4.1 Anna;2785 square feet;7;3;2;3;WEST;1 Car & 5 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
House on Magargaun;location: Lalitpur, Magargaun;Rs 30,000,000;1 year ago;12*12 Inch;10000 Liters;13 Feet;Gravel;2078 B..S;3.3 Anna;1954 Sq.ft.;4;2;2;3;WEST;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Yekaltar Raniban;location: Kathmandu, Raniban, Yekaltar;Rs 30,000,000;1 year ago;12*12 Inchs;10,000 liters;13 Feets;Gravel;2078 B.S;3 ANNA;1705 Sq.ft;3;2;2;3;West;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Raniban New House;location: Kathmandu, Raniban;Rs 47,500,000;1 year ago;12*12 Inch;12000 Liters;22 Feets;Black Topped;2078 B.S.;5 Anna;2267 Sq.ft;5;1;1;5;SOUTH;2 Car & 5 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Hatti Gauda House;location: Kathmandu,Hatti Gauda;Rs Rs 3,00,00,000;1 year ago;12*12 Inch;12000 Liters;22 Feets;Gravel;2078 B.S;7 Aana;2267 Sq.ft;7;2;2;5;East-South;6 Car & 8 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Hatigauda House;location: Kathmandu, Hatigauda;Rs Rs 26,000,000;1 year ago;12*12 Inch;12000 liters;22 Feets;Gravel;2078 B.S;5 Anna;2267 Sq.ft;4;2;2;5;East;2 Cars & 5 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Chandagiri House;location: Kathmandu, Chandagiri, Gokul Party;Rs 25,500,000;1 year ago;12*12 Inch;10000 Liters;13 Feet;Concrete;2077 B.S;4 Anna;2867 Sq.ft;4;2;2;4;EAST-NORTH;1 Car & 5 Bikes;['Modular Kitchen', 'Water Well']
Syuchatar House;location: Kathmandu, Syuchatar;Rs 22,000,000;1 year ago;9*12 inch;6000 Liters;14 Feet;Black Topped;2070 B.S;4 Anna;;5;1;1;2;NORTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Budhanilkantha;location: Kathmandu, Budhanilkantha, Wasik;Rs 37,500,000;1 year ago;12*12 Inch;12000 liters;13 Feet;Concrete;2078 B.S;5 Anna;2750 Sq.ft;5;1;1;4;South;2 Cars & 5 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Ramkot House;location: Kathmandu, Raamkot;Rs RS 18,500,000;1 year ago;12*12 Inch;8000 Liters;12 Feet;Gravel;2078 B.S;3 Anna 1 Dam;1826.23 Sq.ft;5;2;2;3;North;1 Car & 2 Bikes;['Water Well']
KIMDOL HOUSE;location: Kathmandu, Swoyambhu, Kimdol;Rs 25,000,000;1 year ago;12*12 Inch;14000 liters;12 Feet;Gravel;2076;2 Anna 3 Paisa;1685.23 Sq.ft;6;2;2;4;North;1 Car & 2 Bikes;['Modular Kitchen']
Sano Bharayang New House;location: Kathmandu, Sano Bhanrayang;Rs 25,000,000;1 year ago;12*12;12000 liters;13 Feet;Concrete;2078 B..S;3.1 anna;1685.23 Sq.ft;6;2;2;3;SOUTH;1 Car & 3 Bikes;['Solar', 'Modular Kitchen']
Taukhel Land;location: Kathmandu, Sitapaila, Taukhel;Rs 3500000 Per Anna;1 year ago;12*12;12000 liters;20 Feet;Black Topped;2078 B..S;3.1 anna;1685.23 Sq.ft;6;2;2;3;South;1 Car & 3 Bikes;['No Amenities Available']
Nakhipot House;location: Lalitpur, Nakhipot;Rs 28,500,000;1 year ago;12*12inch;12000 liters;18 Feet;Black Topped;2077 B.S;3 Anna 3 Paisa;2225 Sq.ft.;4;1;1;4;WEST;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Gairigau House;location: Kathmandu, Gairgaun;Rs 23500000;1 year ago;12*12;12000 liters;13 Feet;Concrete;2075;4 Anna 2 Paisa;2750 Sq.ft;8;1;1;3;West;1 Car & 3 Bikes;['Water Well']
Surya Darshan Height;location: Kathmandu, Tokha, Suryadarshan Height;Rs 22500000;1 year ago;12*12;12000 liters;16/20 Feet;Black Topped;2077;3 ANNA;1805 Sq.ft;3;1;2;3;East-South;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Dhaneshwor height;location: Kathmandu, Tokha, Dhaneshwor Height;Rs 27,000,000;1 year ago;12*12;12000 liters;13 Feet;Concrete;2078 B.S;4 Anna;2505 Sq.ft;6;2;2;4;North-West;2 Cars & 3 Bikes;['Solar', 'Water Well']
Grande Futsal House;location: Kathmandu, Grande, Futsal;Rs 37,000,000;1 year ago;14*14;12000 liters;16 Feet;Black Topped;2078 B.S;3 Anna 1 Paisa;1905 Sq.ft;4;2;2;4;South-West;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
KHUMALTAR House;location: Lalitpur, Khumaltar;Rs 35,000,000;1 year ago;12*12;12000 liters;13 Feet;Stone Paved;2078 B.S;4 Anna;2750 Sq.ft;6;2;2;4;East;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
KHUMALTAR House;location: Lalitpur. Khumaltar;Rs 25,000,000;1 year ago;9*12;12000 liters;16 Feet;Black Topped;2072;3 Anna 2 Paisa;1905 Sq.ft;6;1;2;3;South;1 Car & 3 Bikes;['Solar', 'Modular Kitchen']
Jharuwarashi House;location: Lalitpur, Jharuwarasi;Rs 16000000;1 year ago;Wall system;10,000;20 Feet;Black Topped;2069;6 Anna;1905 Sq.ft;4;1;1;1;East;2 Cars & 5 Bikes;['Solar', 'Water Well']
Bafal New House;location: Kathmandu, Bafal;Rs 35,000,000;1 year ago;12*12;12000 liters;10-12 Feet;Concrete;2078 B.S;3 ANNA;2125 Sq.ft.;6;1;2;3;North;1 Car & 2 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Rai Chowk New Home;location: Kathmandu, Ichangunarayan, Rai chowk;Rs 27,500,000;1 year ago;12*12 Inch;10,000 feet;12 Feet;Concrete;2078 B.S;0.3.1.2;2750 Sq.ft;5;2;2;3;South-East;1 Car & 3 Bikes;['Solar', 'Modular Kitchen', 'Water Well']
Bafal Duplex Home;location: Kathmandu, Sitapaila, Bafal;Rs 3,30,00,000;1 year ago;12*12;12000 liters;10 Feets;Concrete;2076;4 Anna;3245 sq.ft;6;2;2;3;West;1 Car & 3 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Modern Concept Resident;location: Kathmandu, Kapan;Rs 4.75 Crore;1 year ago;16*16 inch;10,000;15 Feet;Gravel;2075;4 Anna 2 Paisa 2 Dam;3257 Sq.ft;5;2;1;5;South-West;1 Car & 3 Bikes;['Modular Kitchen', 'Water Well']
Home at Tarkeshwor;location: Kathmandu, Tarkeshwor, Basantacolony;Rs 23,000,000;1 year ago;12*12 & 9*12;12000 liters;18 Feet;Gravel;2071;5 Anna;3 Anna;7;2;2;4;EAST-SOUTH;2 Cars & 5 Bikes;['No Amenities Available']
Sano Bharayang Home;location: Kathmandu, Sano Bharayang;Rs 5 Crore;1 year ago;9*12;12000 liters;14 Feet;Stone Paved;2071;10 Anna;3 Anna 2 Paisa;8;3;2;5;West;3 Cars & 4 Bikes;['No Amenities Available']
Family Friendly Banglow;location: Kathmandu,Banasthali;Rs 7 Crore;1 year ago;12*12;18000 Ltr;20 Feet;Black Topped;2071;11 Anna;2152 Sq.ft;4;1;1;5;East;3 Cars & 2 Bikes;['Solar', 'Water Filter', 'Modular Kitchen', 'Water Well']
Tusal Residential Home;location: Kathmandu, Nepaltar, Tusal;Rs 3,65,00,000;2 years ago;16*16 inch;12000 liters;13 Feet;Black Topped;2075;5 Anna 1 Paisa;3158Sq.ft;6;2;3;5;West;2 Cars & 5 Bikes;['Solar', 'Modular Kitchen']
Brand New Home;location: Kathmandu, Dahachowk;Rs 18,500,000;2 years ago;16*16 inch;12000 liters;13 Feet;Black Topped;2077;4 Anna;3158Sq.ft;4;2;2;3;East;2 Cars & 5 Bikes;['No Amenities Available']
Budhanilkantha Banglow;location: Kathmandu, Budhanilkantha;Rs 55,000,000;2 years ago;16*16 inch;12000 liters;13 Feet;Black Topped;2077;7 Anna 2 Paisa;3158Sq.ft;5;1;1;4;East- North;4 Cars & 4 Bikes;['No Amenities Available']
Sano Bharayang  Home;location: Kathmandu, Sano Bhanrayang;Rs 31,500,000;2 years ago;16*16 inch;12000 liters;13 Feet;Black Topped;2077;4 Anna 2 Paisa;3158Sq.ft;6;2;2;5;South-West;1 Car & 5 Bikes;['No Amenities Available']
Banglow at Budhanilkanta;location: Kathmandu, Budhanilkantha;Rs 7,00,00,000;2 years ago;16*16 inch;12000 liters;13 Feet;Black Topped;2076;1 Ropani;3158Sq.ft;4;1;1;7;North;4 Cars & 8 Bikes;['No Amenities Available']
Sano Bharayang  Home;location: Kathmandu, Sano Bhanrayang;Rs 2,70,00,000;2 years ago;16*16 inch;12000 liters;13 Feet;Black Topped;2077;3 Anna 1 Paisa;828 Sq.ft.;4;1;2;4;East- North;1 Car & 3 Bikes;['No Amenities Available']
Sitapaila Home;location: Kathmandu, Sitapaila;Rs 28000000;2 years ago;;;;;2077;3 Anna 2 Paisa;2901;3;1;2;3;South;1 Car & 3 Bikes;['No Amenities Available']
Sitapaila New HOME;location: Kathmandu, Sitapaila;Rs 23000000;2 years ago;12*12;12000 liters;16 Feet;Concrete;2077;3 ANNA;2709.32 Sq.ft;5;2;2;3;South;1 Car & 3 Bikes;['Solar', 'Water Well']
Kusunti Home For Sale;location: Lalitpur, Kusunti Area;Rs 3,65,00,000;2 years ago;12*12;12000 liters;16 Feet;Concrete;2077;5 Anna 2 Paisa 2 Dam;2205 Sq.ft;4;1;1;4;North-West;2 Cars & 3Bikes;['No Amenities Available']
Ramkot Home;location: Kathmandu, Mahankal , Ramkot;Rs 2,30,00,000;2 years ago;12*12;12000 liters;16 Feet;Concrete;2077;4 Anna 1 Paisa;2205 Sq.ft;6;2;1;4;East;1 Car & 4 Bikes;['No Amenities Available']
Sankata Home for Sale;location: Kathmandu, Sitapaila;Rs 24,000,000;2 years ago;12*12;12000 liters;16 Feet;Concrete;2074;4 Anna 1 Paisa;2205 Sq.ft;6;2;2;3;EAST-SOUTH;1 Car & 3 Bikes;['No Amenities Available']
